step,screen_size,absolute_coord,relative_coord
1,"(2560, 1440)","(159, 171)","(0.0621, 0.1187)"
2,"(2560, 1440)","(253, 172)","(0.0988, 0.1194)"
3,"(2560, 1440)","(405, 175)","(0.1582, 0.1215)"
4,"(2560, 1440)","(204, 221)","(0.0797, 0.1535)"
5,"(2560, 1440)","(1152, 262)","(0.45, 0.1819)"
6,"(2560, 1440)","(1037, 414)","(0.4051, 0.2875)"
