step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1003, 37)","(0.3918, 0.0257)",input_menu_code
2,"(2560, 1440)","(127, 166)","(0.0496, 0.1153)",input_start_date
3,"(2560, 1440)","(242, 172)","(0.0945, 0.1194)",input_end_date
4,"(2560, 1440)","(72, 461)","(0.0281, 0.3201)",check_1
5,"(2560, 1440)","(77, 485)","(0.0301, 0.3368)",check_2
6,"(2560, 1440)","(75, 511)","(0.0293, 0.3549)",check_3
7,"(2560, 1440)","(75, 536)","(0.0293, 0.3722)",check_4
8,"(2560, 1440)","(75, 558)","(0.0293, 0.3875)",check_5
9,"(2560, 1440)","(1163, 126)","(0.4543, 0.0875)",button_search
10,"(2560, 1440)","(1144, 555)","(0.4469, 0.3854)",button_excel
11,"(2560, 1440)","(1146, 738)","(0.4477, 0.5125)",button_excel_popup
12,"(2560, 1440)","(1237, 98)","(0.4832, 0.0681)",button_close
