step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1023, 46)","(0.3996, 0.0319)",input_menu_code
2,"(2560, 1440)","(115, 211)","(0.0449, 0.1465)",input_fund_code
3,"(2560, 1440)","(116, 240)","(0.0453, 0.1667)",input_ref_date
4,"(2560, 1440)","(1179, 132)","(0.4605, 0.0917)",button_search
5,"(2560, 1440)","(1154, 307)","(0.4508, 0.2132)",button_excel
6,"(2560, 1440)","(1154, 491)","(0.4508, 0.341)",button_excel_popup
