step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1005, 41)","(0.3926, 0.0285)",input_menu_code
2,"(2560, 1440)","(117, 173)","(0.0457, 0.1201)",input_fund_code
3,"(2560, 1440)","(533, 176)","(0.2082, 0.1222)",input_start_date
4,"(2560, 1440)","(639, 175)","(0.2496, 0.1215)",input_end_date
5,"(2560, 1440)","(1169, 125)","(0.4566, 0.0868)",button_search
6,"(2560, 1440)","(1155, 216)","(0.4512, 0.15)",button_excel
7,"(2560, 1440)","(1037, 370)","(0.4051, 0.2569)",button_excel_popup
