step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1017, 40)","(0.3973, 0.0278)",input_menu_code
2,"(2560, 1440)","(118, 170)","(0.0461, 0.1181)",input_fund_code
3,"(2560, 1440)","(662, 175)","(0.2586, 0.1215)",input_ref_date
4,"(2560, 1440)","(1166, 125)","(0.4555, 0.0868)",button_search
5,"(2560, 1440)","(1149, 217)","(0.4488, 0.1507)",button_excel
6,"(2560, 1440)","(1037, 366)","(0.4051, 0.2542)",button_excel_popup
