step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1015, 37)","(0.3965, 0.0257)",input_menu_code
2,"(2560, 1440)","(115, 208)","(0.0449, 0.1444)",input_fund_code
3,"(2560, 1440)","(122, 244)","(0.0477, 0.1694)",input_start_date
4,"(2560, 1440)","(235, 240)","(0.0918, 0.1667)",input_end_date
5,"(2560, 1440)","(1173, 127)","(0.4582, 0.0882)",button_search
6,"(2560, 1440)","(1154, 279)","(0.4508, 0.1938)",button_excel
7,"(2560, 1440)","(1039, 434)","(0.4059, 0.3014)",button_excel_popup
