step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1009, 40)","(0.3941, 0.0278)",input_menu_code
2,"(2560, 1440)","(116, 172)","(0.0453, 0.1194)",input_fund_code
3,"(2560, 1440)","(655, 176)","(0.2559, 0.1222)",input_ref_date
4,"(2560, 1440)","(1169, 124)","(0.4566, 0.0861)",button_search
5,"(2560, 1440)","(1143, 221)","(0.4465, 0.1535)",button_excel
6,"(2560, 1440)","(1145, 407)","(0.4473, 0.2826)",button_excel_popup
