step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1015, 40)","(0.3965, 0.0278)",input_menu_code
2,"(2560, 1440)","(206, 163)","(0.0805, 0.1132)",button_tab_category
3,"(2560, 1440)","(105, 216)","(0.041, 0.15)",input_fund_code
4,"(2560, 1440)","(697, 215)","(0.2723, 0.1493)",input_start_date
5,"(2560, 1440)","(805, 213)","(0.3145, 0.1479)",input_end_date
6,"(2560, 1440)","(195, 240)","(0.0762, 0.1667)",button_dropdown_period
7,"(2560, 1440)","(231, 281)","(0.0902, 0.1951)",button_select_alldays
8,"(2560, 1440)","(1166, 125)","(0.4555, 0.0868)",button_search
9,"(2560, 1440)","(1151, 293)","(0.4496, 0.2035)",button_excel
10,"(2560, 1440)","(1152, 477)","(0.45, 0.3312)",button_excel_popup
