step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1007, 45)","(0.3934, 0.0312)",input_menu_code
2,"(2560, 1440)","(116, 173)","(0.0453, 0.1201)",input_fund_code
3,"(2560, 1440)","(534, 175)","(0.2086, 0.1215)",input_start_date
4,"(2560, 1440)","(638, 173)","(0.2492, 0.1201)",input_end_date
5,"(2560, 1440)","(1172, 126)","(0.4578, 0.0875)",button_search
6,"(2560, 1440)","(1155, 219)","(0.4512, 0.1521)",button_excel
7,"(2560, 1440)","(1158, 410)","(0.4523, 0.2847)",button_excel_popup
