step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1013, 41)","(0.3957, 0.0285)",input_menu_code
2,"(2560, 1440)","(114, 172)","(0.0445, 0.1194)",input_fund_code
3,"(2560, 1440)","(125, 201)","(0.0488, 0.1396)",input_start_date
4,"(2560, 1440)","(231, 202)","(0.0902, 0.1403)",input_end_date
5,"(2560, 1440)","(1166, 126)","(0.4555, 0.0875)",button_search
6,"(2560, 1440)","(1153, 254)","(0.4504, 0.1764)",button_excel
7,"(2560, 1440)","(1151, 438)","(0.4496, 0.3042)",button_excel_popup
