step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1016, 40)","(0.3969, 0.0278)",input_menu_code
2,"(2560, 1440)","(136, 171)","(0.0531, 0.1187)",input_start_date
3,"(2560, 1440)","(337, 172)","(0.1316, 0.1194)",input_end_date
4,"(2560, 1440)","(505, 171)","(0.1973, 0.1187)",input_fund_code
5,"(2560, 1440)","(1155, 121)","(0.4512, 0.084)",button_search
6,"(2560, 1440)","(1240, 244)","(0.4844, 0.1694)",button_excel
