step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1025, 45)","(0.4004, 0.0312)",input_menu_code
2,"(2560, 1440)","(122, 172)","(0.0477, 0.1194)",input_start_date
3,"(2560, 1440)","(244, 169)","(0.0953, 0.1174)",input_end_date
4,"(2560, 1440)","(75, 617)","(0.0293, 0.4285)",check_1
5,"(2560, 1440)","(75, 641)","(0.0293, 0.4451)",check_2
6,"(2560, 1440)","(74, 662)","(0.0289, 0.4597)",check_3
7,"(2560, 1440)","(74, 688)","(0.0289, 0.4778)",check_4
8,"(2560, 1440)","(74, 712)","(0.0289, 0.4944)",check_5
9,"(2560, 1440)","(1174, 126)","(0.4586, 0.0875)",button_search
10,"(2560, 1440)","(1145, 550)","(0.4473, 0.3819)",button_excel
11,"(2560, 1440)","(1143, 736)","(0.4465, 0.5111)",button_excel_popup
12,"(2560, 1440)","(1233, 96)","(0.4816, 0.0667)",button_close
