step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1018, 41)","(0.3977, 0.0285)",input_menu_code
2,"(2560, 1440)","(536, 208)","(0.2094, 0.1444)",input_ref_date
3,"(2560, 1440)","(1166, 130)","(0.4555, 0.0903)",button_search
4,"(2560, 1440)","(1150, 251)","(0.4492, 0.1743)",button_excel
5,"(2560, 1440)","(1149, 436)","(0.4488, 0.3028)",button_excel_popup
