step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1016, 43)","(0.3969, 0.0299)",input_menu_code
2,"(2560, 1440)","(113, 209)","(0.0441, 0.1451)",input_fund_code
3,"(2560, 1440)","(115, 239)","(0.0449, 0.166)",input_ref_date
4,"(2560, 1440)","(1171, 126)","(0.4574, 0.0875)",button_search
5,"(2560, 1440)","(1155, 305)","(0.4512, 0.2118)",button_excel
6,"(2560, 1440)","(1040, 455)","(0.4062, 0.316)",button_excel_popup
