step,screen_size,absolute_coord,relative_coord
1,"(2560, 1440)","(993, 38)","(0.3879, 0.0264)"
2,"(2560, 1440)","(114, 173)","(0.0445, 0.1201)"
3,"(2560, 1440)","(125, 203)","(0.0488, 0.141)"
4,"(2560, 1440)","(236, 203)","(0.0922, 0.141)"
5,"(2560, 1440)","(1175, 123)","(0.459, 0.0854)"
6,"(2560, 1440)","(1157, 255)","(0.452, 0.1771)"
7,"(2560, 1440)","(1042, 409)","(0.407, 0.284)"
