step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1014, 39)","(0.3961, 0.0271)",input_menu_code
2,"(2560, 1440)","(179, 173)","(0.0699, 0.1201)",input_start_date
3,"(2560, 1440)","(367, 173)","(0.1434, 0.1201)",input_end_date
4,"(2560, 1440)","(1176, 134)","(0.4594, 0.0931)",button_search
5,"(2560, 1440)","(1237, 253)","(0.4832, 0.1757)",button_excel
