step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(2415, 54)","(0.9434, 0.0375)",input_menu_code
2,"(2560, 1440)","(733, 135)","(0.2863, 0.0938)",check_all_accounts
3,"(2560, 1440)","(1279, 133)","(0.4996, 0.0924)",check_all_funds
4,"(2560, 1440)","(1060, 129)","(0.4141, 0.0896)",input_start_date
5,"(2560, 1440)","(1201, 131)","(0.4691, 0.091)",input_end_date
6,"(2560, 1440)","(2453, 236)","(0.9582, 0.1639)",button_submit
7,"(2560, 1440)","(380, 1277)","(0.1484, 0.8868)",dropdown_download
8,"(2560, 1440)","(371, 1344)","(0.1449, 0.9333)",select_excel
