step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1024, 44)","(0.4, 0.0306)",input_menu_code
2,"(2560, 1440)","(116, 174)","(0.0453, 0.1208)",input_start_date
3,"(2560, 1440)","(243, 172)","(0.0949, 0.1194)",input_end_date
4,"(2560, 1440)","(75, 236)","(0.0293, 0.1639)",check_1
5,"(2560, 1440)","(74, 261)","(0.0289, 0.1812)",check_2
6,"(2560, 1440)","(76, 283)","(0.0297, 0.1965)",check_3
7,"(2560, 1440)","(1166, 124)","(0.4555, 0.0861)",button_search
8,"(2560, 1440)","(1144, 555)","(0.4469, 0.3854)",button_excel
9,"(2560, 1440)","(1146, 743)","(0.4477, 0.516)",button_excel_popup
10,"(2560, 1440)","(1236, 95)","(0.4828, 0.066)",button_close
