step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1024, 44)","(0.4, 0.0306)",input_menu_code
2,"(2560, 1440)","(397, 175)","(0.1551, 0.1215)",input_fund_code
3,"(2560, 1440)","(147, 178)","(0.0574, 0.1236)",input_start_date
4,"(2560, 1440)","(252, 173)","(0.0984, 0.1201)",input_end_date
5,"(2560, 1440)","(207, 222)","(0.0809, 0.1542)",button_tab_category
6,"(2560, 1440)","(1166, 125)","(0.4555, 0.0868)",button_search
7,"(2560, 1440)","(1148, 259)","(0.4484, 0.1799)",button_excel
8,"(2560, 1440)","(1035, 409)","(0.4043, 0.284)",button_excel_popup
