step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(2404, 51)","(0.9391, 0.0354)",input_menu_code
2,"(2560, 1440)","(732, 133)","(0.2859, 0.0924)",check_all_accounts
3,"(2560, 1440)","(1278, 132)","(0.4992, 0.0917)",check_all_funds
4,"(2560, 1440)","(1073, 132)","(0.4191, 0.0917)",input_start_date
5,"(2560, 1440)","(1197, 133)","(0.4676, 0.0924)",input_end_date
6,"(2560, 1440)","(2449, 234)","(0.9566, 0.1625)",button_submit
7,"(2560, 1440)","(386, 1305)","(0.1508, 0.9062)",dropdown_download
8,"(2560, 1440)","(385, 1373)","(0.1504, 0.9535)",select_excel
