step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1005, 42)","(0.3926, 0.0292)",input_menu_code
2,"(2560, 1440)","(407, 175)","(0.159, 0.1215)",input_fund_code
3,"(2560, 1440)","(151, 175)","(0.059, 0.1215)",input_start_date
4,"(2560, 1440)","(252, 177)","(0.0984, 0.1229)",input_end_date
5,"(2560, 1440)","(205, 219)","(0.0801, 0.1521)",button_tab_category
6,"(2560, 1440)","(1174, 128)","(0.4586, 0.0889)",button_search
7,"(2560, 1440)","(1149, 258)","(0.4488, 0.1792)",button_excel
8,"(2560, 1440)","(1152, 445)","(0.45, 0.309)",button_excel_popup
