step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1023, 41)","(0.3996, 0.0285)",input_menu_code
2,"(2560, 1440)","(125, 169)","(0.0488, 0.1174)",input_start_date
3,"(2560, 1440)","(239, 171)","(0.0934, 0.1187)",input_end_date
4,"(2560, 1440)","(73, 387)","(0.0285, 0.2687)",check_1
5,"(2560, 1440)","(74, 412)","(0.0289, 0.2861)",check_2
6,"(2560, 1440)","(75, 434)","(0.0293, 0.3014)",check_3
7,"(2560, 1440)","(1167, 129)","(0.4559, 0.0896)",button_search
8,"(2560, 1440)","(1144, 552)","(0.4469, 0.3833)",button_excel
9,"(2560, 1440)","(1143, 735)","(0.4465, 0.5104)",button_excel_popup
10,"(2560, 1440)","(1236, 95)","(0.4828, 0.066)",button_close
