step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1009, 38)","(0.3941, 0.0264)",input_menu_code
2,"(2560, 1440)","(134, 166)","(0.0523, 0.1153)",button_tab_category
3,"(2560, 1440)","(116, 211)","(0.0453, 0.1465)",input_fund_code
4,"(2560, 1440)","(116, 239)","(0.0453, 0.166)",input_ref_date
5,"(2560, 1440)","(1170, 126)","(0.457, 0.0875)",button_search
6,"(2560, 1440)","(1155, 305)","(0.4512, 0.2118)",button_excel
7,"(2560, 1440)","(1161, 492)","(0.4535, 0.3417)",button_excel_popup
8,"(2560, 1440)","(1236, 89)","(0.4828, 0.0618)",button_close
