step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1012, 40)","(0.3953, 0.0278)",input_menu_code
2,"(2560, 1440)","(114, 210)","(0.0445, 0.1458)",input_fund_code
3,"(2560, 1440)","(117, 241)","(0.0457, 0.1674)",input_start_date
4,"(2560, 1440)","(237, 241)","(0.0926, 0.1674)",input_end_date
5,"(2560, 1440)","(1171, 125)","(0.4574, 0.0868)",button_search
6,"(2560, 1440)","(1154, 277)","(0.4508, 0.1924)",button_excel
7,"(2560, 1440)","(1156, 461)","(0.4516, 0.3201)",button_excel_popup
