step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1028, 44)","(0.4016, 0.0306)",input_menu_code
2,"(2560, 1440)","(130, 167)","(0.0508, 0.116)",input_start_date
3,"(2560, 1440)","(244, 175)","(0.0953, 0.1215)",input_end_date
4,"(2560, 1440)","(73, 310)","(0.0285, 0.2153)",check_1
5,"(2560, 1440)","(72, 334)","(0.0281, 0.2319)",check_2
6,"(2560, 1440)","(72, 361)","(0.0281, 0.2507)",check_3
7,"(2560, 1440)","(1168, 126)","(0.4562, 0.0875)",button_search
8,"(2560, 1440)","(1142, 553)","(0.4461, 0.384)",button_excel
9,"(2560, 1440)","(1140, 739)","(0.4453, 0.5132)",button_excel_popup
10,"(2560, 1440)","(1237, 95)","(0.4832, 0.066)",button_close
