step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1024, 42)","(0.4, 0.0292)",input_menu_code
2,"(2560, 1440)","(123, 166)","(0.048, 0.1153)",input_fund_code
3,"(2560, 1440)","(126, 202)","(0.0492, 0.1403)",input_start_date
4,"(2560, 1440)","(237, 204)","(0.0926, 0.1417)",input_end_date
5,"(2560, 1440)","(1165, 123)","(0.4551, 0.0854)",button_search
6,"(2560, 1440)","(1156, 254)","(0.4516, 0.1764)",button_excel
7,"(2560, 1440)","(1041, 409)","(0.4066, 0.284)",button_excel_popup
