step,screen_size,absolute_coord,relative_coord,sequence
1,"(2560, 1440)","(1016, 39)","(0.3969, 0.0271)",input_menu_code
2,"(2560, 1440)","(545, 214)","(0.2129, 0.1486)",input_ref_date
3,"(2560, 1440)","(1169, 126)","(0.4566, 0.0875)",button_search
4,"(2560, 1440)","(1157, 251)","(0.452, 0.1743)",button_excel
5,"(2560, 1440)","(1046, 407)","(0.4086, 0.2826)",button_excel_popup
